ID,gene.count.original,gene.count.UMI
ENSMUSG00000042734,20,10
ENSMUSG00000036850,28,18
ENSMUSG00000025785,25,12
ENSMUSG00000025786,16,11
ENSMUSG00000025780,3,1
ENSMUSG00000025781,272,142
ENSMUSG00000012609,17,7
ENSMUSG00000049858,3,2
ENSMUSG00000078566,22,12
ENSMUSG00000035505,10,6
ENSMUSG00000035509,4,2
ENSMUSG00000020496,224,121
ENSMUSG00000020495,43,23
ENSMUSG00000033904,36,16
ENSMUSG00000044496,7,3
ENSMUSG00000033900,235,111
ENSMUSG00000033902,39,18
ENSMUSG00000033909,17,7
ENSMUSG00000028373,77,37
ENSMUSG00000020149,410,215
ENSMUSG00000020140,4,1
ENSMUSG00000020142,46,18
ENSMUSG00000018565,36,23
ENSMUSG00000018567,176,98
ENSMUSG00000086837,2,1
ENSMUSG00000039086,39,19
ENSMUSG00000039087,3,3
ENSMUSG00000044367,3,2
ENSMUSG00000044365,11,6
ENSMUSG00000039089,10,5
ENSMUSG00000086040,342,173
ENSMUSG00000048814,162,90
ENSMUSG00000058447,1,1
ENSMUSG00000058446,7,4
ENSMUSG00000058444,37,21
ENSMUSG00000058441,23,15
ENSMUSG00000058440,20,13
ENSMUSG00000024493,101,53
ENSMUSG00000024491,48,27
ENSMUSG00000036062,140,71
ENSMUSG00000033016,1,1
ENSMUSG00000033014,150,69
ENSMUSG00000059316,88,41
ENSMUSG00000005698,142,72
ENSMUSG00000005699,12,8
ENSMUSG00000086309,3,1
ENSMUSG00000004568,37,27
ENSMUSG00000004565,39,23
ENSMUSG00000004567,42,19
ENSMUSG00000004561,8,3
ENSMUSG00000004562,2,1
ENSMUSG00000047044,4,1
ENSMUSG00000077221,7,3
ENSMUSG00000085769,3,3
ENSMUSG00000029810,2,1
ENSMUSG00000029815,17,9
ENSMUSG00000089685,8,5
ENSMUSG00000006586,69,30
ENSMUSG00000089682,9,4
ENSMUSG00000003033,61,36
ENSMUSG00000003031,35,22
ENSMUSG00000003037,54,30
ENSMUSG00000003038,2,2
ENSMUSG00000003039,55,28
ENSMUSG00000047959,1,1
ENSMUSG00000084413,1,1
ENSMUSG00000084416,15,8
ENSMUSG00000034379,4,2
ENSMUSG00000034371,16,11
ENSMUSG00000034377,25,13
ENSMUSG00000074754,29,13
ENSMUSG00000017009,9,3
ENSMUSG00000046607,8,3
ENSMUSG00000079260,2,1
ENSMUSG00000046605,18,10
ENSMUSG00000015536,85,41
ENSMUSG00000002635,19,10
ENSMUSG00000044600,66,38
ENSMUSG00000041078,95,45
ENSMUSG00000041079,28,11
ENSMUSG00000008129,2,2
ENSMUSG00000041075,1,1
ENSMUSG00000041073,29,14
ENSMUSG00000041380,71,26
ENSMUSG00000079487,14,6
ENSMUSG00000081892,1,1
ENSMUSG00000081896,12,5
ENSMUSG00000040389,489,241
ENSMUSG00000040385,243,128
ENSMUSG00000040387,10,6
ENSMUSG00000040383,66,35
ENSMUSG00000041923,63,33
ENSMUSG00000041920,9,7
ENSMUSG00000041921,8,3
ENSMUSG00000041926,35,21
ENSMUSG00000040037,112,60
ENSMUSG00000040035,750,395
ENSMUSG00000040034,2,2
ENSMUSG00000040033,27,15
ENSMUSG00000061740,7,2
ENSMUSG00000015095,50,24
ENSMUSG00000015094,185,96
ENSMUSG00000015092,92,49
ENSMUSG00000015090,3,2
ENSMUSG00000056342,221,107
ENSMUSG00000047565,10,6
ENSMUSG00000057691,18,10
ENSMUSG00000085407,6,1
ENSMUSG00000053332,41,19
ENSMUSG00000053333,73,35
ENSMUSG00000053334,16,9
ENSMUSG00000038845,17,11
ENSMUSG00000038844,9,5
ENSMUSG00000038848,99,50
ENSMUSG00000018362,16,6
ENSMUSG00000018363,11,5
ENSMUSG00000016018,181,97
ENSMUSG00000066571,2,1
ENSMUSG00000064622,2,1
ENSMUSG00000064624,2,1
ENSMUSG00000054648,8,5
ENSMUSG00000054640,802,434
ENSMUSG00000030057,454,252
ENSMUSG00000070462,12,6
ENSMUSG00000048385,8,5
ENSMUSG00000030055,14,7
ENSMUSG00000033253,15,10
ENSMUSG00000048388,311,161
ENSMUSG00000033257,2,1
ENSMUSG00000033256,20,10
ENSMUSG00000021959,18,12
ENSMUSG00000021958,11,5
ENSMUSG00000021951,46,20
ENSMUSG00000021952,4,3
ENSMUSG00000021957,113,61
ENSMUSG00000071073,32,20
ENSMUSG00000071072,57,18
ENSMUSG00000071076,62,33
ENSMUSG00000071074,80,38
ENSMUSG00000071078,11,6
ENSMUSG00000030058,615,331
ENSMUSG00000036555,17,10
ENSMUSG00000036550,143,77
ENSMUSG00000036552,3,2
ENSMUSG00000055991,7,4
ENSMUSG00000051146,3,1
ENSMUSG00000023087,119,61
ENSMUSG00000023089,195,96
ENSMUSG00000023088,14,8
ENSMUSG00000030780,21,10
ENSMUSG00000033781,29,13
ENSMUSG00000049265,2,2
ENSMUSG00000038065,52,30
ENSMUSG00000038060,6,3
ENSMUSG00000038069,37,19
ENSMUSG00000030254,10,6
ENSMUSG00000037204,79,42
ENSMUSG00000030257,369,194
ENSMUSG00000031785,9,5
ENSMUSG00000031787,59,25
ENSMUSG00000031781,54,25
ENSMUSG00000031780,11,6
ENSMUSG00000031783,21,11
ENSMUSG00000031782,48,30
ENSMUSG00000031788,32,21
ENSMUSG00000070858,1,1
ENSMUSG00000034252,61,30
ENSMUSG00000083626,9,4
ENSMUSG00000090213,13,3
ENSMUSG00000031129,18,11
ENSMUSG00000034259,38,20
ENSMUSG00000034570,72,33
